fips,race,age,dr_cases,vtdr_cases,dm_pop
12037,"White, non-Hispanic",40-64 years,133,20,576
12039,"White, non-Hispanic",40-64 years,318,49,1137
12041,"White, non-Hispanic",40-64 years,170,22,815
12043,"White, non-Hispanic",40-64 years,93,13,399
12045,"White, non-Hispanic",40-64 years,158,21,717
12047,"White, non-Hispanic",40-64 years,152,22,534
12049,"White, non-Hispanic",40-64 years,253,29,679
12051,"White, non-Hispanic",40-64 years,233,41,767
12053,"White, non-Hispanic",40-64 years,1489,210,7679
12055,"White, non-Hispanic",40-64 years,1036,134,3023
12057,"White, non-Hispanic",40-64 years,8371,1296,37267
12059,"White, non-Hispanic",40-64 years,177,28,897
12061,"White, non-Hispanic",40-64 years,955,171,5524
12063,"White, non-Hispanic",40-64 years,275,47,1757
12065,"White, non-Hispanic",40-64 years,139,20,603
12067,"White, non-Hispanic",40-64 years,84,12,348
12069,"White, non-Hispanic",40-64 years,2245,334,12775
12071,"White, non-Hispanic",40-64 years,5180,861,22911
12073,"White, non-Hispanic",40-64 years,1847,229,6766
12075,"White, non-Hispanic",40-64 years,435,64,1917
12077,"White, non-Hispanic",40-64 years,66,10,334
12079,"White, non-Hispanic",40-64 years,122,20,669
12081,"White, non-Hispanic",40-64 years,2548,426,13880
12083,"White, non-Hispanic",40-64 years,2527,473,12595
12085,"White, non-Hispanic",40-64 years,1159,151,5401
12086,"White, non-Hispanic",40-64 years,4146,655,18484
12087,"White, non-Hispanic",40-64 years,460,69,2829
12089,"White, non-Hispanic",40-64 years,748,118,4178
12091,"White, non-Hispanic",40-64 years,1230,216,6881
12093,"White, non-Hispanic",40-64 years,249,42,1381
12095,"White, non-Hispanic",40-64 years,6828,953,30414
12097,"White, non-Hispanic",40-64 years,2464,247,7157
12099,"White, non-Hispanic",40-64 years,7728,1089,34595
12101,"White, non-Hispanic",40-64 years,4513,692,20842
12103,"White, non-Hispanic",40-64 years,9487,1269,37366
12105,"White, non-Hispanic",40-64 years,6436,624,20544
12107,"White, non-Hispanic",40-64 years,619,103,3193
12109,"White, non-Hispanic",40-64 years,2229,328,10084
12111,"White, non-Hispanic",40-64 years,1927,319,9565
12113,"White, non-Hispanic",40-64 years,1226,217,7150
12115,"White, non-Hispanic",40-64 years,2657,427,14630
12117,"White, non-Hispanic",40-64 years,2639,429,14104
12119,"White, non-Hispanic",40-64 years,798,124,4151
12121,"White, non-Hispanic",40-64 years,476,64,1909
12123,"White, non-Hispanic",40-64 years,258,26,914
12125,"White, non-Hispanic",40-64 years,155,24,671
12127,"White, non-Hispanic",40-64 years,4359,696,21071
12129,"White, non-Hispanic",40-64 years,375,46,1500
12131,"White, non-Hispanic",40-64 years,727,148,3671
12133,"White, non-Hispanic",40-64 years,194,30,1128
13001,"White, non-Hispanic",40-64 years,193,33,738
13003,"White, non-Hispanic",40-64 years,74,16,297
13005,"White, non-Hispanic",40-64 years,102,19,446
13007,"White, non-Hispanic",40-64 years,31,4,99
13009,"White, non-Hispanic",40-64 years,223,30,1260
