fips,svi_overall,svi_ses,svi_hhchar,svi_minority,svi_housing
16051,0.1082,0.1563,0.2078,0.4179,0.0917
16053,0.67,0.8806,0.7355,0.7855,0.1155
16055,0.2562,0.3848,0.191,0.3488,0.2473
16057,0.2989,0.508,0.001,0.3908,0.8905
16059,0.5089,0.522,0.5064,0.1852,0.6569
16061,0.6397,0.7272,0.8654,0.521,0.2228
16063,0.7034,0.795,0.8068,0.7292,0.2537
16065,0.3797,0.7015,0.0146,0.3736,0.5223
16067,0.6868,0.7931,0.7381,0.7728,0.2498
16069,0.542,0.4173,0.4854,0.4179,0.7922
16071,0.205,0.2686,0.9106,0.2148,0.0105
16073,0.7597,0.6451,0.9838,0.6986,0.3017
16075,0.6092,0.5264,0.8997,0.5891,0.353
16077,0.6152,0.6381,0.8864,0.7782,0.163
16079,0.7543,0.8982,0.7371,0.2855,0.4971
16081,0.1308,0.3055,0.1299,0.5341,0.0423
16083,0.5379,0.5936,0.697,0.5815,0.2559
16085,0.1143,0.3526,0.0296,0.1515,0.148
16087,0.9125,0.915,0.9943,0.564,0.5035
17001,0.2829,0.1696,0.4195,0.2778,0.5652
17003,0.923,0.8896,0.9115,0.7642,0.8323
17005,0.4335,0.2218,0.0955,0.3908,0.9831
17007,0.4153,0.5185,0.6945,0.6502,0.085
17009,0.4554,0.2718,0.1302,0.6353,0.9144
17011,0.2721,0.2518,0.6671,0.4023,0.1588
17013,0.0309,0.042,0.1731,0.0344,0.0936
17015,0.147,0.2543,0.106,0.2094,0.2237
17017,0.5532,0.4911,0.8132,0.6232,0.3151
17019,0.5605,0.3854,0.0522,0.7212,0.9905
17021,0.1808,0.2374,0.1474,0.0907,0.3587
17023,0.071,0.0652,0.5449,0.0223,0.0735
17025,0.3997,0.3616,0.711,0.0426,0.4338
17027,0.1321,0.0799,0.0929,0.2855,0.507
17029,0.5407,0.6757,0.0633,0.3001,0.8768
17031,0.8004,0.754,0.395,0.916,0.8762
17033,0.4157,0.3313,0.2954,0.2928,0.7486
17035,0.0175,0.0624,0.0796,0.0239,0.0605
17037,0.4952,0.5045,0.1836,0.6085,0.6754
17039,0.0439,0.1601,0.0547,0.126,0.0544
17041,0.5353,0.598,0.3829,0.3218,0.6108
17043,0.2199,0.1668,0.1852,0.7237,0.2989
17045,0.2521,0.2031,0.5461,0.0169,0.4061
17047,0.2349,0.2696,0.7078,0.0239,0.1544
17049,0.2129,0.057,0.5003,0.0589,0.6626
17051,0.4726,0.4421,0.6566,0.2409,0.5048
17053,0.2428,0.2342,0.4513,0.2094,0.2877
17055,0.5471,0.6871,0.605,0.0589,0.478
17057,0.233,0.4067,0.1155,0.2658,0.2482
17059,0.4828,0.542,0.9013,0.0643,0.2428
17061,0.0544,0.1299,0.2317,0.0302,0.0522
17063,0.0799,0.0856,0.2747,0.4395,0.0652
17065,0.3119,0.3358,0.6579,0.0506,0.2817
17067,0.0891,0.1362,0.2944,0.0547,0.1139
17069,0.3049,0.3491,0.4017,0.0385,0.4262
17071,0.0271,0.1391,0.0901,0.0643,0.0271
17073,0.1168,0.0898,0.4335,0.3189,0.1299
17075,0.3813,0.5089,0.661,0.3355,0.1346
17077,0.789,0.7791,0.2931,0.6353,0.9513
17079,0.2158,0.1941,0.606,0.0086,0.2645
17081,0.7174,0.5032,0.7502,0.4605,0.9029
17083,0.0341,0.0917,0.0528,0.0643,0.1069
17085,0.0894,0.1031,0.3348,0.1181,0.1197
17087,0.2912,0.2295,0.3049,0.4443,0.4647
17089,0.494,0.5099,0.4971,0.8224,0.289
17091,0.697,0.5458,0.64,0.663,0.803
17093,0.1222,0.1108,0.5038,0.7027,0.0293
17095,0.6423,0.5544,0.4564,0.5115,0.8304
17097,0.4663,0.316,0.4188,0.7855,0.5742
17099,0.3826,0.3304,0.4978,0.4574,0.395
17101,0.4806,0.4087,0.3291,0.4656,0.7136
17103,0.3189,0.1871,0.2683,0.4341,0.6967
17105,0.3806,0.3119,0.4029,0.3552,0.55
17107,0.1814,0.2145,0.0347,0.43,0.4539
17109,0.4612,0.6066,0.0264,0.3934,0.8173
17111,0.1152,0.1547,0.2858,0.5439,0.0602
17113,0.2005,0.1069,0.0684,0.5621,0.6365
17115,0.5258,0.4211,0.4729,0.6146,0.6493
17117,0.1388,0.2763,0.2212,0.0547,0.1372
17119,0.2581,0.2801,0.3059,0.4682,0.2699
17121,0.5547,0.5748,0.6308,0.3046,0.5274
17123,0.0681,0.1155,0.1566,0.1445,0.1123
17125,0.1493,0.3908,0.3027,0.0286,0.0576
17127,0.5856,0.5796,0.345,0.3934,0.7801
17129,0.0165,0.0366,0.1827,0.0703,0.0299
17131,0.0598,0.1066,0.1986,0.0907,0.0834
17133,0.0016,0.0038,0.0474,0.0302,0.0076
